Keywords,Definitions
Metonymy,"n. Substitution of the name of an attribute or adjunct for that of the thing meant (e.g. Crown for king, the turf for horse-racing). [greek: related to *meta-, onuma name]"
Metre1,"n. (us meter) metric unit and the base si unit of linear measure, equal to about 39.4 inches."
Metre2,"n. (us meter) 1 a poetic rhythm, esp. As determined by the number and length of feet in a line. B metrical group or measure. 2 basic rhythm of music. [related to *metre1]"
Metre-kilogram-second,"n. Denoting a system of measure using the metre, kilogram, and second."
Metric,adj. Of or based on the metre. [french: related to *metre1]
-metric,comb. Form (also -metrical) forming adjectives corresponding to nouns in -meter and -metry (thermometric; geometric).
Metrical,adj. 1 of or composed in metre (metrical psalms). 2 of or involving measurement (metrical geometry).
Metricate,v. (-ting) convert to a metric system.
Metric system,"n. Decimal measuring system with the metre, litre, and gram (or kilogram) as units of length, volume, and mass."
Metric ton,"n. (also metric tonne) 1,000 kilograms (2205 lb)."
Metro,"n. (pl. -s) underground railway system, esp. In paris. [french shortened from mtropolitain metropolitan]"
Metronome,"n. Device ticking at a selected rate to mark time for musicians. [greek metron measure, nomos law]"
Metropolis,"n. Chief city, capital. [greek meter mother, polis city]"
Metropolitan,adj. 1 of a metropolis. 2 of or forming a mother country as distinct from its colonies etc. (metropolitan france). n. 1 bishop having authority over the bishops of a province. 2 inhabitant of a metropolis.
-metry,comb. Form forming nouns denoting procedures and systems involving measurement (geometry).
Mettle,"n. 1 quality or strength of character. 2 spirit, courage."
Mev,abbr. Mega-electronvolt(s).
Mew1,"n. Characteristic cry of a cat, gull, etc. v. Utter this sound. [imitative]"
Mew2,"n. Gull, esp. The common gull. [old english]"
Mewl,v. 1 whimper. 2 mew like a cat. [imitative]
Mews,"n. (treated as sing.) Stabling round a yard etc., now used esp. For housing. [originally sing. Mew cage for hawks: french from latin muto change]"
Mexican,n. 1 native or national of mexico. 2 person of mexican descent. adj. Of mexico or its people. [spanish]
Methyl,"n. Univalent hydrocarbon radical ch3, present in many organic compounds. [greek methu wine, hule wood]"
Methyl alcohol,n. = *methanol.
Methylate,v. (-ting) 1 mix or impregnate with methanol. 2 introduce a methyl group into (a molecule or compound).
Methylated spirit,n. (also methylated spirits n.pl.) Alcohol treated to make it unfit for drinking and exempt from duty.
Meticulous,adj. 1 giving great attention to detail. 2 very careful and precise.
Mtier,"n. 1 one's trade, profession, or field of activity. 2 one's forte. [latin: related to *minister]"
Metonymy,"n. Substitution of the name of an attribute or adjunct for that of the thing meant (e.g. Crown for king, the turf for horse-racing). [greek: related to *meta-, onuma name]"
Metre1,"n. (us meter) metric unit and the base si unit of linear measure, equal to about 39.4 inches."
Metre2,"n. (us meter) 1 a poetic rhythm, esp. As determined by the number and length of feet in a line. B metrical group or measure. 2 basic rhythm of music. [related to *metre1]"
Metre-kilogram-second,"n. Denoting a system of measure using the metre, kilogram, and second."
Metric,adj. Of or based on the metre. [french: related to *metre1]
-metric,comb. Form (also -metrical) forming adjectives corresponding to nouns in -meter and -metry (thermometric; geometric).
Metrical,adj. 1 of or composed in metre (metrical psalms). 2 of or involving measurement (metrical geometry).
Metricate,v. (-ting) convert to a metric system.
Metric system,"n. Decimal measuring system with the metre, litre, and gram (or kilogram) as units of length, volume, and mass."
Metric ton,"n. (also metric tonne) 1,000 kilograms (2205 lb)."
Metro,"n. (pl. -s) underground railway system, esp. In paris. [french shortened from mtropolitain metropolitan]"
Metronome,"n. Device ticking at a selected rate to mark time for musicians. [greek metron measure, nomos law]"
Metropolis,"n. Chief city, capital. [greek meter mother, polis city]"
Metropolitan,adj. 1 of a metropolis. 2 of or forming a mother country as distinct from its colonies etc. (metropolitan france). n. 1 bishop having authority over the bishops of a province. 2 inhabitant of a metropolis.
-metry,comb. Form forming nouns denoting procedures and systems involving measurement (geometry).
Mettle,"n. 1 quality or strength of character. 2 spirit, courage."
Mev,abbr. Mega-electronvolt(s).
Mew1,"n. Characteristic cry of a cat, gull, etc. v. Utter this sound. [imitative]"
Mew2,"n. Gull, esp. The common gull. [old english]"
Mewl,v. 1 whimper. 2 mew like a cat. [imitative]
Mews,"n. (treated as sing.) Stabling round a yard etc., now used esp. For housing. [originally sing. Mew cage for hawks: french from latin muto change]"
Mexican,n. 1 native or national of mexico. 2 person of mexican descent. adj. Of mexico or its people. [spanish]
Mezzanine,n. Storey between two others (usu. Between the ground and first floors). [italian: related to *median]
Mezzo,"mus. adv. Half, moderately. n. (in full mezzo-soprano) (pl. -s) 1 female singing-voice between soprano and contralto. 2 singer with this voice. [latin medius middle]"
Mezzo forte,adj. & adv. Fairly loud(ly).
Mezzo piano,adj. & adv. Fairly soft(ly).
Mezzotint,"n. 1 method of printing or engraving in which a plate is roughened by scraping to produce tones and halftones. 2 print so produced. [italian: related to *mezzo, *tint]"
Mf,abbr. Mezzo forte.
Mg,symb. Magnesium.
Mg,abbr. Milligram(s).
Mgr.,Abbr. 1 manager. 2 monseigneur. 3 monsignor.
Mhz,abbr. Megahertz.
M.i.5,abbr. Uk department of military intelligence concerned with state security.
Miaow,n. Characteristic cry of a cat. v. Make this cry. [imitative]
Miasma,"n. (pl. -mata or -s) archaic infectious or noxious vapour. [greek, = defilement]"
Mica,"n. Silicate mineral found as glittering scales in granite etc. Or in crystals separable into thin transparent plates. [latin, = crumb]"
Mice,pl. Of *mouse.
Michaelmas,"n. Feast of st michael, 29 september. [related to *mass2]"
Michaelmas daisy,n. Autumn-flowering aster.
Mick,n. Slang offens. Irishman. [pet form of michael]
Mickey,n. (also micky)
Mickey finn,n. Slang drugged drink intended to make the victim unconscious. [origin uncertain]
Mickle,n. (also muckle) archaic or scot. Large amount.
Micky,var. Of *mickey.
Micro,n. (pl. -s) colloq. 1 = *microcomputer. 2 = *microprocessor.
Micro-,comb. Form 1 small (microchip). 2 denoting a factor of one millionth (10-6) (microgram). [greek mikros small]
Microbe,n. Micro-organism (esp. A bacterium causing disease or fermentation).
Microbiology,n. The study of micro-organisms.
Microchip,n. Small piece of semiconductor (usu. Silicon) used to carry integrated circuits.
Microcircuit,n. Integrated circuit on a microchip.
Microclimate,"n. Small localized climate, e.g. Inside a greenhouse."
Microcomputer,n. Small computer with a microprocessor as its central processor.
Microcosm,"n. (often foll. By of) miniature representation, e.g. Mankind or a community seen as a small-scale model of the universe; epitome."
Microdot,n. Microphotograph of a document etc. Reduced to the size of a dot.
Micro-electronics,"n. Design, manufacture, and use of microchips and microcircuits."
Microfiche,"n. (pl. Same or -s) small flat piece of film bearing microphotographs of documents etc. [from *micro-, french fiche slip of paper]"
Microfilm,n. Length of film bearing microphotographs of documents etc. v. Photograph on microfilm.
Microlight,n. A kind of motorized hang-glider.
Micromesh,"n. (often attrib.) Fine-meshed material, esp. Nylon."
Micrometer,n. Gauge for accurate small-scale measurement.
Micron,n. One-millionth of a metre. [greek mikros small]
Micro-organism,"n. Microscopic organism, e.g. Bacteria, protozoa, and viruses."
Microphone,"n. Instrument for converting sound waves into electrical energy for reconversion into sound after transmission or recording. [from *micro-, greek phone sound]"
Microphotograph,n. Photograph reduced to a very small size. [from *micro-]
Microprocessor,n. Integrated circuit containing all the functions of a computer's central processing unit.
Microscope,"n. Instrument with lenses for magnifying objects or details invisible to the naked eye. [from *micro-, *-scope]"
Microscopic,adj. 1 visible only with a microscope. 2 extremely small. 3 of or by means of a microscope.
Microscopy,n. Use of microscopes.
Microsecond,n. One-millionth of a second.
Microsurgery,n. Intricate surgery using microscopes.
Microwave,n. 1 electromagnetic wave with a wavelength in the range 0.0010.3m. 2 (in full microwave oven) oven using microwaves to cook or heat food quickly. v. (-ving) cook in a microwave oven.
Micturition,n. Formal urination. [latin]
Mid,attrib. Adj. (usu. In comb.) The middle of (mid-air; mid-june). [old english]
Midday,"n. (often attrib.) Middle of the day; noon. [old english: related to *mid, *day]"
Midden,n. 1 dunghill. 2 refuse heap. [scandinavian: related to *muck]
Middle,"attrib. Adj. 1 at an equal distance, time, or number from extremities; central. 2 intermediate in rank, quality, etc. 3 average (of middle height). n. 1 (often foll. By of) middle point, position, or part. 2 waist."
Middle age,n. Period between youth and old age.
Middle ages,n. (prec. By the) period of european history from c.1000 to 1453.
Middle-age spread,n. (also middle-aged spread) increased bodily girth at middle age.
Middlebrow,colloq. adj. Having or appealing to non-intellectual or conventional tastes. n. Middlebrow person.
Middle c,"n. C near the middle of the piano keyboard, (in notation) the note between the treble and bass staves."
Middle class,"n. Social class between the upper and the lower, including professional and business workers."
Middle distance,n. 1 (in a landscape) part between the foreground and the background. 2 athletics race distance of esp. 400 or 800 metres.
Middle ear,n. Cavity behind the eardrum.
Middle east,n. (prec. By the) area covered by countries from egypt to iran inclusive.
Middle english,n. English language from c.1150 to 1500.
Middle game,n. Central phase of a chess game.
Middleman,n. 1 trader who handles a commodity between producer and consumer. 2 intermediary.
Middle name,n. 1 name between first name and surname. 2 colloq. Person's most characteristic quality (tact is my middle name).
Middle-of-the-road,adj. 1 moderate; avoiding extremes. 2 of general appeal.
Middle school,n. School for children from about 9 to 13 years.
Middle-sized,adj. Of medium size.
Middleweight,"n. 1 weight in certain sports between welterweight and light heavyweight, in amateur boxing 715 kg. 2 sportsman of this weight."
Middling,"adj. Moderately good. adv. Fairly, moderately."
Midfield,"n. Football central part of the pitch, away from the goals."
Midge,n. Gnatlike insect. [old english]
Midget,n. 1 extremely small person or thing. 2 (attrib.) Very small.
Midi,"n. (also midi) an interface allowing electronic musical instruments, synthesizers, and computers to be interconnected and used simultaneously. [abbreviation of musical instrument digital interface]"
Midi system,n. Set of compact stacking components of hi-fi equipment.
Midland,n. 1 (the midlands) inland counties of central england. 2 middle part of a country. adj. Of or in the midland or midlands.
Mid-life,n. Middle age.
Mid-life crisis,n. Crisis of self-confidence in early middle age.
Midnight,n. Middle of the night; 12 o'clock at night. [old english]
Midnight blue,adj. & n. (as adj. Often hyphenated) very dark blue.
Midnight sun,n. Sun visible at midnight during the summer in polar regions.
Mid-off,n. Cricket position of the fielder near the bowler on the off side.
Mid-on,n. Cricket position of the fielder near the bowler on the on side.
Midriff,"n. Front of the body just above the waist. [old english, = mid-belly]"
Midshipman,n. Naval officer ranking next above a cadet.
Midships,adv. = *amidships.
Midst,prep. Poet. Amidst. n. Middle.
Midstream,n. Middle of a stream etc. adv. (also in midstream) in the middle of an action etc. (abandoned the project midstream).
Midsummer,"n. Period of or near the summer solstice, about 21 june. [old english]"
Midsummer day,n. (also midsummer's day) 24 june.
Midsummer madness,n. Extreme folly.
Midway,adv. In or towards the middle of the distance between two points.
Midwest,n. Region of the us adjoining the northern mississippi.
Midwicket,n. Cricket position of a fielder on the leg side opposite the middle of the pitch.
Midwife,n. Person trained to assist at childbirth.
Midwinter,"n. Period of or near the winter solstice, about 22 dec. [old english]"
Mien,n. Literary person's look or bearing. [probably obsolete demean]
